P-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
1016774320;04.04.2011;;Ørbæk Apotek;Nyborgvej 2;5853;Ørbæk;477300 Apoteker;62291025;oerbaek@apoteket.dk;Ja
1021304650;01.05.2016;;Vesterbrogades Apotek;Vesterbrogade 20;7000;Fredericia;477300 Apoteker;31692442;047tk@apoteket.dk;Ja
1021659882;01.10.2016;;Lundby Apotek;Lundby Hovedgade 90;4750;Lundby;477300 Apoteker;55767105;Lundby@apoteket.dk;Ja
1020344217;20.04.2015;;Otterup apotek;Nørregade 2;5450;Otterup;477300 Apoteker;64821039;121bj@apoteket.dk;Nej
1022520012;01.06.2017;;Bredballe Apotek;Bredballe Center 12;7120;Vejle;477300 Apoteker;75816446;gorms@apoteket.dk;Ja
1003188649;19.09.2000;;VORDINGBORG APOTEK;Algade 82;4760;Vordingborg;682030 Anden udlejning af boliger;55370033;;Nej
1015065369;01.06.2008;;Christiansfeld Apotek;Lindegade 21;6070;Christiansfeld;477300 Apoteker;;;Nej
1016251751;19.08.2010;;Field's Apotek;Arne Jacobsens Allé 12;2300;København;477300 Apoteker;32549985;;Nej
1023303155;31.01.2018;;Islev Apotek;Fortvej 5;2610;Rødovre;477300 Apoteker;36704781;roedovre@apoteket.dk;Nej
1020259988;01.05.2015;;Juelsminde Apotek;Søgade 3;7130;Juelsminde;477300 Apoteker;75694361;;Ja
1003160261;01.09.1999;;Skipperen apotek;Vestre Alle 7;9000;Aalborg;477300 Apoteker;98136366;;Nej
1013385951;26.06.2007;;Billund Apotek;Butikstorvet 3;7190;Billund;477300 Apoteker;75320022;;Nej
1020295011;25.02.2015;;Lunderskov Apotek;Iver Dahlsvej 4;6640;Lunderskov;477300 Apoteker;75586455;;Ja
1020915117;01.12.2015;;Solsidens Apotek;c/o Nørresundby Apotek -   Vestergade 30;9400;Nørresundby;477300 Apoteker;96321750;092rhl@apoteket.dk;Ja
1008647115;01.01.2000;;Bankager Apotek;c/o Filial af Horsens Søndergades Apotek -   Bankagervej 111;8700;Horsens;477300 Apoteker;75641199;Horsens@apotekeren.dk;Nej
1024804174;28.11.2019;;Nordhavn Apotek;Århusgade 134A;2150;Nordhavn;477300 Apoteker;;nordhavn@apoteket.dk;Ja
1002896065;19.11.1979;;FREDERIKSSUND APOTEK;Bastholmen 31;3520;Farum;682040 Udlejning af erhvervsejendomme;44952410;31@bastholmen.dk;Nej
1015689508;01.04.2008;;Slangerup Apotek;Kongensgade 16;3550;Slangerup;477300 Apoteker;47333777;slangerup@apoteket.dk;Ja
1022805181;01.09.2017;;Toftlund Apotek;Søndergade 2;6520;Toftlund;477300 Apoteker;74831333;toftlund@apoteket.dk;Nej
1018247263;05.02.2013;;Hals Apotek;Havnegade 7A;9370;Hals;477300 Apoteker;98251013;hals@apoteket.dk;Ja
1020294996;25.02.2015;;Vamdrup Apotek;Torvet 6;6580;Vamdrup;477300 Apoteker;75581888;;Ja
1015373292;03.07.2009;;Hamlets Apotek;Hamletsgade 2;2200;København;477300 Apoteker;35837202;Hamlets@apoteket.dk;Nej
1021506555;14.06.2016;;Søtorvet Apotek;Søtorvet 1;8600;Silkeborg;477300 Apoteker;27297626;112sa@apoteket.dk;Ja
1021083689;23.01.2016;;Ølgod Apotek;Torvet 4;6870;Ølgod;477300 Apoteker;75244333;oelgod@apoteket.dk;Ja
1020180303;01.04.2015;;Skagen Apotek;Sct. Laurentii Vej 44;9990;Skagen;477300 Apoteker;98441758;sforzini@apoteket.dk;Nej
1021481978;06.06.2016;;Jelling Apotek;Gorms Torv 5;7300;Jelling;477300 Apoteker;76716067;give@apoteket.dk;Ja
1003045061;01.04.1985;;FAKSE APOTEK;Rønnedevej 15;4640;Faxe;477300 Apoteker;56713055;;Nej
1002915009;01.05.1988;;CHRISTIANSHAVNS APOTEK;Torvegade 45;1400;København;477300 Apoteker;32576880;;Nej
1015802401;27.01.2010;;Rønde Apotek;Ceresvej 16 - 18;8410;Rønde;477300 Apoteker;86341588;ebeltoft@apoteket.dk;Nej
1014272336;07.03.2008;;Allerød Apotek;Allerød Stationsvej 9;3450;Allerød;477300 Apoteker;48172585;;Nej
1021545178;28.06.2016;;Nørregades apotek;Nørregade 32C;7800;Skive;477300 Apoteker;69899038;skivesvane@apoteket.dk;Ja
1014274681;01.03.2008;;Fanø Apotek;Hovedgaden 64;6720;Fanø;477300 Apoteker;75162023;jerneapo@apoteket.dk;Ja
1023639692;01.06.2018;;Harlev Apotek;Gammel Stillingvej 427A;8462;Harlev;477300 Apoteker;60456292;marselisborg@apoteket.dk;Ja
1002939647;19.11.1979;;SKOVLUNDE APOTEK;Torvestrædet 9;2740;Skovlunde;477300 Apoteker;44915022;;Nej
1020560491;01.08.2015;;Gyldenrisparkens Apotek;Amagerbrogade 264;2300;København;477300 Apoteker;32500617;taarnby@apoteket.dk;Nej
1014408580;07.05.2008;;Pandrup Apotek;Bredgade 3;9490;Pandrup;477300 Apoteker;98244288;105AA@apoteket.dk;Nej
1021363916;02.05.2016;;Apotek Spinderiet;Valby Torvegade 13;2500;Valby;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
1003166775;19.11.1979;;SINDAL APOTEK;Vestergade 2A;9870;Sindal;477300 Apoteker;98936255;;Ja
1021610085;01.09.2016;;Tarup Apotek;Rugvang 36 - 40;5210;Odense;477300 Apoteker;66161400;tarup@apoteket.dk;Ja
1025490556;01.05.2020;;Ikast Apotek;Østergade 15;7430;Ikast;477300 Apoteker;60624994;078hj@apoteket.dk;Ja
1015474609;30.08.2009;;Løgten Apotek;Bytorvet 1A;8541;Skødstrup;477300 Apoteker;86993133;loegtenapotek@apoteket.dk;Ja
1023639641;01.06.2018;;Galten Apotek;Torvet 3 -  st. tv.;8464;Galten;477300 Apoteker;60456292;marselisborg@apoteket.dk;Ja
1002963757;19.11.1979;;TRIANGLEN APOTEK;Nordre Frihavnsgade 3;2100;København;477300 Apoteker;35383200;;Nej
1002904033;19.11.1979;;VIDEBÆK APOTEK;Bredgade 32;6920;Videbæk;477300 Apoteker;97172500;;Nej
1021481951;06.06.2016;;Brande Apotek;storegade 13;7330;Brande;477300 Apoteker;97180388;brande@apoteket.dk;Ja
1002914567;19.11.1979;;Amagerbro Apotek;c/o Amager Centret 142 -   Reberbanegade 3;2300;København;477300 Apoteker;32578383;;Nej
1003092302;01.09.1968;;ODDER APOTEK;Rosensgade 14;8300;Odder;477300 Apoteker;86540010;;Nej
1008652496;01.04.2000;;Smørum Apotek;Flodvej 75M;2765;Smørum;477300 Apoteker;44640271;smoerum@apotekeren.dk;Ja
1020077464;20.01.2015;;Hasle Apotek;Viborgvej 150;8210;Aarhus;477300 Apoteker;86152077;337lk@apoteket.dk;Ja
1023557130;01.05.2018;;Løgstør Apotek;Østerbrogade 1B;9670;Løgstør;477300 Apoteker;98671755;logstor.apotek@apoteket.dk;Nej
1018247328;05.02.2013;;Dronninglund Apotek;Slotsgade 64;9330;Dronninglund;477300 Apoteker;98842222;;Nej
1021727349;01.09.2016;;Rudkøbing Apotek;Engdraget 1  -  Rudkøbing;5900;Rudkøbing;477300 Apoteker;62511002;anjaclaudiahoffmann@live.dk;Ja
1015107932;02.03.2009;;Ulfborg Apotek;Bredgade 9;6990;Ulfborg;477300 Apoteker;;;Nej
1008652429;01.04.2000;;Måløv Apotek;Stationsvej 7;2760;Måløv;477300 Apoteker;;;Nej
1019104210;04.04.2014;;Ejby Apotek;Algade 4;5592;Ejby;477300 Apoteker;63465100;info@ejbyapotek.dk;Nej
1024332396;23.01.2019;;Hammershøj Apotek;Randersvej 8;8830;Tjele;477300 Apoteker;22784466;viborgloeve@gmail.com;Ja
1021081783;19.01.2016;;Tarm Apotek;Storegade 27;6880;Tarm;477300 Apoteker;97371006;098LG@apoteket.dk;Ja
1021083654;23.01.2016;;Skjern Apotek;Bredgade 44b;6900;Skjern;477300 Apoteker;97351544;skjern@apoteket.dk;Ja
1002904343;01.01.1992;;Kongelundens Apotek;Kongelundsvej 364;2770;Kastrup;477300 Apoteker;32500617;323ka@apoteket.dk;Ja
1002903979;01.01.1992;;Herfølge Apotek;Vordingborgvej 106;4681;Herfølge;477300 Apoteker;56276221;boholte@apoteket.dk;Nej
1025314774;01.01.2020;;Lillesø Apotek;Adelgade 27;8660;Skanderborg;477300 Apoteker;87939000;;Ja
1003222871;01.01.1992;;Vestervang Apotek;Rughavevej 2;8800;Viborg;477300 Apoteker;86627862;vestervang@apoteket.dk;Nej
1015108645;02.03.2009;;Bøvlingbjerg Apotek;Fårevej 143;7650;Bøvlingbjerg;477300 Apoteker;;;Nej
1023804987;15.08.2018;;Apotek Strøget;Frederiksberggade 1A -  st.;1459;København;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
1008651783;01.05.2000;;Jyllinge Apotek;Jyllingecentret 31;4040;Jyllinge;477300 Apoteker;;;Nej
1021610131;01.09.2016;;Korup Apotek;Åbakkevej 67;5210;Odense;477300 Apoteker;65943002;bolbro@apoteket.dk;Ja
1021340258;15.04.2016;;Dronningensvej Apotek;Dronningensvej 5 -  st. tv.;5800;Nyborg;477300 Apoteker;60618142;316td@apoteket.dk;Ja
1020785108;01.10.2015;;Hjerting Apotek;Havbakken 2;6710;Esbjerg;477300 Apoteker;;;Ja
1002898627;01.01.1992;;AUGUSTENBORG APOTEK;Storegade 41;6440;Augustenborg;477300 Apoteker;74472124;soenderborgjernbane@apoteket.dk;Nej
1014775419;01.01.2008;;Nyborg Apotek;Kongegade 8;5800;Nyborg;477300 Apoteker;;;Ja
1019823527;01.01.2015;;Stubbekøbing Apotek;Torvet 2;4850;Stubbekøbing;477300 Apoteker;54441012;tl@apoteket.dk;Nej
1002938639;19.11.1979;;HØRSHOLM APOTEK;Hørsholm Midtpunkt 2;2970;Hørsholm;477300 Apoteker;45860023;;Nej
1024996944;01.11.2019;;Frederiksværk Apotek;Nørregade 4;3300;Frederiksværk;477300 Apoteker;47720007;amir@apoteket.dk;Ja
1022299456;24.03.2017;;Dronningborg Apotek;Skovlyvej 15;8930;Randers;477300 Apoteker;34112112;;Nej
1017838306;02.08.2012;;Vodskov Apotek;Vodskovvej 41;9310;Vodskov;477300 Apoteker;98294020;lovaas@apoteket.dk;Ja
1022720437;03.08.2017;;Hovedbanens Apotek;Bernstorffsgade 16;1577;København;477300 Apoteker;;;Nej
1008676085;24.09.2001;;Tørring Apotek;c/o Bredgade 10 -   Bredgade 10;7160;Tørring;477300 Apoteker;75802330;;Ja
1019959143;01.12.2014;;Tranbjerg Apotek;Kirketorvet 18;8310;Tranbjerg;477300 Apoteker;86299311;mikkelnorreslet@apoteket.dk;Ja
1002984442;01.01.1992;;Prøvestens Apotek;Birkedalsvej 7 - 9;3000;Helsingør;477300 Apoteker;49218600;238nh@apoteket.dk;Ja
1015735364;29.12.2009;;Auning Apotek;Centervej 4B;8963;Auning;477300 Apoteker;;;Nej
1023367390;01.05.2018;;Ringe Apotek;c/o Lars Kaarill -   Torvet 5;5750;Ringe;477300 Apoteker;62621034;035lk@apoteket.dk;Ja
1020403310;20.04.2015;;Søndersø apotek;Odensevej 23;5471;Søndersø;477300 Apoteker;64891029;;Nej
1003019397;19.11.1979;;GILLELEJE APOTEK;Vesterbrogade 6B;3250;Gilleleje;477300 Apoteker;48301555;;Nej
1003019403;01.01.1992;;HORNBÆK APOTEK;Sauntevej 2;3100;Hornbæk;477300 Apoteker;49700062;;Nej
1014586756;11.07.2008;;Svenstrup Apotek;Godthåbsvej 12;9230;Svenstrup;477300 Apoteker;98381167;aalborghus@apoteket.dk;Nej
1002902625;19.11.1979;;VILDBJERG APOTEK;Søndergade 7;7480;Vildbjerg;477300 Apoteker;97131036;;Nej
1021509279;01.06.2016;;Friheden Apotek;Strandmarksvej 20;2650;Hvidovre;477300 Apoteker;36784433;jakob@tjelum.dk;Nej
1003153308;19.11.1979;;SKANDERBORG APOTEK;Adelgade 61;8660;Skanderborg;477300 Apoteker;87939000;info@skanderborg-apotek.dk;Ja
1002988515;19.11.1979;;ORDRUP APOTEK;Ordrupvej 80;2920;Charlottenlund;477300 Apoteker;39641611;ordrup@apoteket.dk;Ja
1024436973;01.04.2019;;Slotscentret Apotek;Slotsvolden 7 -  st. 1.;4300;Holbæk;477300 Apoteker;;amid@apotekeren.dk;Ja
1002904203;01.01.1992;;FREDENSBORG APOTEK;Jernbanegade 3;3480;Fredensborg;477300 Apoteker;49191979;fredensborg@apoteket.dk;Ja
1016823976;01.05.2011;;Rødekro Apotek;Østergade 6;6230;Rødekro;477300 Apoteker;74622200;287aa@apoteket.dk;Nej
1022810665;01.09.2017;;Skærbæk Apotek;Storegade 40 -  st.;6780;Skærbæk;477300 Apoteker;74751323;skaerbaek@apoteket.dk;Nej
1022535729;08.06.2017;;Virum Apotek;Frederiksdalsvej 73;2830;Virum;477300 Apoteker;45855510;341bh@apoteket.dk;Ja
1019954990;01.12.2014;;Marselisborg Apotek;Rundhøjtorvet 3;8270;Højbjerg;477300 Apoteker;;marselisborg@apoteket.dk;Ja
1024079178;01.11.2018;;Sluseholmens Apotek;Lone Kellermanns Vej 21;2450;København;477300 Apoteker;;199sb@apoteket.dk;Ja
1024413345;11.02.2019;;Egtved Apotek;Aftensang 10A;6040;Egtved;477300 Apoteker;75551003;egtved@apoteket.dk;Ja
1023796623;01.09.2018;;Stoholm Apotek;Johan Bittmanns Vej 2C;7850;Stoholm;477300 Apoteker;97541777;;Ja
1022096814;01.02.2017;;Apotek Vesterbro;Vesterbrogade 60;1620;København;477300 Apoteker;35398382;090ms@apoteket.dk;Ja
1021117214;02.02.2016;;Bruun's Apotek;M.P. Bruuns Gade 25;8000;Aarhus;477300 Apoteker;23472784;337lk@apoteket.dk;Ja
1002938640;01.01.1992;;NIVÅ APOTEK;Nivå Center 75;2990;Nivå;477300 Apoteker;;;Nej
1024877600;01.11.2019;;Ullerød Apotek;Frederiksværksgade 115A;3400;Hillerød;477300 Apoteker;;;Nej
1002904094;01.01.1992;;BROAGER APOTEK;Allegade 5;6310;Broager;477300 Apoteker;74441104;;Nej
1020588515;22.06.2015;;Strib Apotek;Sofiendalvej 10  -  Strib;5500;Middelfart;477300 Apoteker;64417843;;Ja
1021266236;14.03.2016;;Brønshøj Apotek;Højenhald 2 -  st.;2700;Brønshøj;477300 Apoteker;30703441;341bh@apoteket.dk;Ja
1002904008;01.01.1992;;SOLRØD APOTEK;Solrød Center 5;2680;Solrød;477300 Apoteker;56144314;;Nej
1002897863;19.11.1979;;VAISENHUS APOTEK;Landemærket 3 - 5;1119;København;477300 Apoteker;33326640;;Nej
1003156137;19.11.1979;;KARUP APOTEK;Herningvej 2;7470;Karup;477300 Apoteker;97101700;;Nej
1020655581;24.08.2015;;Hyrdehøj Apotek;Hyrdehøj Alle 5;4000;Roskilde;477300 Apoteker;46323277;017da@apoteket.dk;Ja
1008649983;01.01.2000;;Langå Apotek;Bredgade 18;8870;Langå;477300 Apoteker;86461633;;Nej
1020243518;25.02.2015;;Rødding Apotek;c/o Gitte Halberg Andersen -   Kongevej 2;6630;Rødding;477300 Apoteker;74842141;gitte.halbergandersen@gmail.com;Nej
1014259062;01.05.2008;;Haslev Apotek;Jernbanegade 11;4690;Haslev;477300 Apoteker;56312071;;Nej
1025487008;27.01.2020;;Støvring Apotek;Hobrovej 84;9530;Støvring;477300 Apoteker;;;Nej
1003187204;19.11.1979;;ØSTERVRÅ APOTEK;Industrivej 10;9750;Østervrå;477300 Apoteker;98951001;069ps@apoteket.dk;Ja
1024881810;30.08.2019;;Ryparken Apotek;c/o Valby Langgade 49 -   Lyngbyvej 153;2100;København;477300 Apoteker;31313919;kenneth@lokind.dk;Ja
1025253619;01.01.2020;;Præstø Apotek;Svend Gønges Torv 12;4720;Præstø;477300 Apoteker;31653804;;Ja
1024909944;01.09.2019;;Stenløse Apotek;Egedal Centret 2;3660;Stenløse;477300 Apoteker;47171270;stenloese@apoteket.dk;Ja
1014710813;01.11.2008;;Stenlille Apotek;Hovedgaden 48;4295;Stenlille;477300 Apoteker;57804002;207bk@apoteket.dk;Nej
1015123067;08.03.2009;;Assentoft Apotek;Storegade 61  -  Assentoft;8960;Randers;477300 Apoteker;86494599;;Nej
1018294261;25.02.2013;;Hjallerup Apotek;Søndergade 6;9320;Hjallerup;477300 Apoteker;98282240;;Nej
1021328487;01.05.2016;;Gentofte Apotek;Gentoftegade 35;2820;Gentofte;477300 Apoteker;39680311;skj@apoteket.dk;Ja
1003042931;19.11.1979;;MARIBO APOTEK;Vestergade 1;4930;Maribo;477300 Apoteker;54780611;;Nej
1003146016;19.11.1979;;Buddinge Apotek;Søborg Hovedgade 201;2860;Søborg;477300 Apoteker;39559090;buddinge@apoteket.dk;Nej
1020272909;01.04.2015;;Kastrup Apotek;c/o V/Mikkel Rostgaard Jørgensen -   Skottegården 2;2770;Kastrup;477300 Apoteker;32503633;mikkelrostgaard@hotmail.com;Ja
1017406015;15.01.2012;;Mariager Apotek;Østergade 10;9550;Mariager;477300 Apoteker;98541018;mariager@apoteket.dk;Nej
1022282790;10.03.2017;;Lynge Apotek;Lynge Bytorv 5;3540;Lynge;477300 Apoteker;44950003;3540@apoteket.dk;Ja
1014265186;01.04.2008;;Frederikssund Apotek;Nygade 1 -  1.;3600;Frederikssund;477300 Apoteker;47310007;;Nej
1020119566;19.01.2015;;Struer Apotek;Østergade 11;7600;Struer;477300 Apoteker;97851052;hunnerup@c.dk;Ja
1021659874;01.10.2016;;Vordingborg Apotek;Voldgade 20;4760;Vordingborg;477300 Apoteker;55370033;vordingborg@apoteket.dk;Ja
1003191790;19.11.1979;;Præstø Apotek;Svend Gønges Torv 12;4720;Præstø;477300 Apoteker;55991401;;Nej
1014569304;07.07.2008;;Klosterparkens Apotek;Klosterparks Alle 10;4100;Ringsted;477300 Apoteker;57611459;ringsted@apoteket.dk;Nej
1002901848;01.01.1992;;HEDEHUSENE APOTEK;Hovedgaden 421;2640;Hedehusene;477300 Apoteker;46562255;;Nej
1023492519;09.04.2018;;Antvorskov Apotek;c/o Bilka Slagelse -   Idagårdsvej 1;4200;Slagelse;477300 Apoteker;58520134;022aa@apoteket.dk;Nej
1002981960;01.10.1992;;MALLING APOTEK;Stationspladsen 5G;8340;Malling;477300 Apoteker;86932271;odder@apoteket.dk;Nej
1002898299;19.11.1979;;EGTVED APOTEK;Aftensang 10;6040;Egtved;477300 Apoteker;75551003;egtved@apoteket.dk;Nej
1003153333;01.01.1992;;HAMMERSHØJ APOTEK;Randersvej 8  -  Hammershøj;8830;Tjele;477300 Apoteker;86451014;;Nej
1003186567;19.11.1979;;GLOSTRUP APOTEK;Hovedvejen 101;2600;Glostrup;477300 Apoteker;43960020;;Nej
1025532356;01.02.2020;;Vallensbæk Apotek;Vallensbæk Stationstorv 60;2665;Vallensbæk;477300 Apoteker;33784433;;Nej
1020697179;17.09.2015;;Veri Apotek;c/o Veri Center Aarhus Butik nr.23 -   Frijsenborgvej 5;8240;Risskov;477300 Apoteker;87429400;178cc@apoteket.dk;Ja
1003188650;01.01.1991;;LUNDBY APOTEK;Lundby Hovedgade 90;4750;Lundby;682030 Anden udlejning af boliger;55767105;Lundby@apoteket.dk;Nej
1018790250;01.10.2013;;Nibe apotek;c/o Mellemgade 9 -   Mellemgade 9;9240;Nibe;477300 Apoteker;98351023;nibe@apoteket.dk;Nej
1013688792;12.10.2007;;Hellerup Apotek;Strandvejen 165;2900;Hellerup;477300 Apoteker;;;Ja
1023591584;01.09.2018;;Vonsildvej Apotek;Vonsildvej 1G  -  Vonsild;6000;Kolding;477300 Apoteker;75524233;kolding@apoteket.dk;Ja
1020091483;01.04.2015;;Brønderslev Apotek;Peder Møllers Plads 10;9700;Brønderslev;477300 Apoteker;98821211;172pi@apoteket.dk;Nej
1014847215;01.11.2008;;Dianalund Apotek;Torvet 5;4293;Dianalund;477300 Apoteker;58264414;dianalund@apoteket.dk;Nej
1017444529;30.01.2012;;Vejlby Apotek;Vejlbygade 16A;8240;Risskov;477300 Apoteker;87429400;;Ja
1023806815;19.07.2018;;Ribe Apotek;J. Lauritzens Plads 14;6760;Ribe;477300 Apoteker;75420755;ribe@apoteket.dk;Ja
1002901691;19.11.1979;;SØNDERGADES APOTEK;Søndergade 12;8700;Horsens;477300 Apoteker;76254200;horsens@apotekeren.dk;Nej
1020971858;11.12.2015;;Valdemarsgade Apotek;Valdemarsgade 69;4760;Vordingborg;477300 Apoteker;31516187;tl@apoteket.dk;Ja
1017838284;02.08.2012;;Lindholm Apotek;c/o Nørresundby Apotek -   Lindholm Nærbanevej 1D;9400;Nørresundby;477300 Apoteker;98172022;lovaas@apoteket.dk;Ja
1023416553;08.03.2018;;Overlund Apotek;c/o Løvbjerg -   Randersvej 60;8800;Viborg;477300 Apoteker;88442422;;Nej
1020565329;10.07.2015;;Apotek Fisketorvet;Kalvebod Brygge 59;1560;København;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
1003176550;01.01.1970;;Jyderup Apotek;Sølystvej 1;4450;Jyderup;477300 Apoteker;59268012;;Nej
1003180107;01.01.1992;;PADBORG APOTEK;Bovvej 9;6330;Padborg;477300 Apoteker;74673938;Padborg@apoteket.dk;Nej
1017444561;30.01.2012;;Egå Apotek;Egå Havvej 2H;8250;Egå;477300 Apoteker;86228939;;Ja
1024332388;23.01.2019;;Engelsborg Apotek;c/o Meny -   Fabrikvej 2;8800;Viborg;477300 Apoteker;22784466;viborgloeve@gmail.com;Ja
1021746289;15.10.2016;;Apotek Humletorvet;Humletorvet 23;1799;København;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
1014221057;01.03.2008;;Hovedgård Apotek;Ørridslevvej 1;8732;Hovedgård;477300 Apoteker;;;Nej
1022652628;12.07.2017;;Kennedy Apotek;John F. Kennedys Plads 1E -  st.;9000;Aalborg;477300 Apoteker;98101032;kennedy@apoteket.dk;Ja
1016078820;29.05.2010;;Østerbro Apotek;c/o Østerbrogade 151 -   Østerbrogade 101;2100;København;477300 Apoteker;35421560;oesterbro@apoteket.dk;Nej
1022484407;01.07.2017;;Apotek Ørsted;H.C. Ørsteds Vej 38;1879;Frederiksberg;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
1021451815;23.05.2016;;Give Apotek;Østergade 8A;7323;Give;477300 Apoteker;;saeed28@gmail.com;Ja
1023928945;01.10.2018;;Enghave Apotek;c/o V/ Mikkel Rostgaard Jørgensen -   Enghave Plads 25;1670;København;477300 Apoteker;33313778;enghave@apoteket.dk;Ja
1019249626;26.03.2014;;Tølløse Apotek;Vestergade 70;4340;Tølløse;477300 Apoteker;59186048;hval@apoteket.dk;Nej
1022651907;01.08.2017;;Sorgenfri Apotek;Sorgenfri Torv 19;2830;Virum;477300 Apoteker;45850345;sorgenfri@apoteket.dk;Nej
1025571467;03.03.2020;;Bramdrupdam Apotek;Centervej 5;6000;Kolding;477300 Apoteker;;;Ja
1024997444;01.11.2019;;Hundested Apotek;Nørregade 54C;3390;Hundested;477300 Apoteker;47939886;amir@apoteket.dk;Ja
1025036839;20.09.2019;;Møllebro Apotek;c/o Føtex -   Slangerupgade 50;3400;Hillerød;477300 Apoteker;44915022;skovlunde@apoteket.dk;Ja
1024909952;01.09.2019;;Ølstykke Apotek;Rådhus Alle 9;3650;Ølstykke;477300 Apoteker;47179677;stenloese@apoteket.dk;Ja
1017678449;17.05.2012;;Brøndbyvester Apotek;Søndre Ringvej 41F;2605;Brøndby;477300 Apoteker;27839763;broendbyoester@apoteket.dk;Nej
1021732539;01.09.2016;;Humble Apotek;Hovedgaden 2;5932;Humble;477300 Apoteker;62571055;;Ja
1002975766;01.01.1970;;NEKSØ APOTEK;Strandgade 7  -  Nexø;3730;Nexø;477300 Apoteker;56492019;;Nej
1003186622;19.11.1979;;ØSTERGADES APOTEK;Østergade 5;7400;Herning;477300 Apoteker;96266500;;Nej
1020490019;01.07.2015;;Dragør Apotek;Maglebytorv 18;2791;Dragør;477300 Apoteker;32538401;kastrup@apoteket.dk;Ja
1018687832;01.09.2013;;Løkken Apotek;Jyllandsgade 13;9480;Løkken;477300 Apoteker;98991023;aabybro@apotek.dk;Nej
1021609990;01.09.2016;;Bolbro Apotek;Middelfartvej 129;5200;Odense;477300 Apoteker;66167500;bolbro@apoteket.dk;Ja
