CVR-nummer;Startdato;Ophørsdato;Navn;Adresse;Postnr.;By;Virksomhedsform;Hovedbranche;Telefonnr;Email;Reklamebeskyttet
28944578;01.10.2005;;Amagerbro Apotek ;c/o Amager Centret 142 -   Reberbanegade 3;2300;København;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
40772049;10.09.2019;;Præstø Apotek ;Svend Gønges Torv 12;4720;Præstø;Enkeltmandsvirksomhed;477300 Apoteker;55991401;Praestoe@apoteket.dk;Ja
33307950;01.04.2011;;Langeskov Apotek ;Langeskov Centret 27;5550;Langeskov;Enkeltmandsvirksomhed;477300 Apoteker;65981009;;Nej
74696317;01.01.1985;;GLOSTRUP APOTEK ;c/o Steen Mejlgaard -   Julie Sødrings Vej 6;2920;Charlottenlund;Enkeltmandsvirksomhed;477300 Apoteker;39621563;steen.mejlgaard@apoteket.dk;Nej
27531466;01.01.2020;;Stevns Apotek ;Nytorv 5;4660;Store;Enkeltmandsvirksomhed;477300 Apoteker;56502024;stevns@apoteket.dk;Ja
33282788;01.01.2011;;Tønder Løve Apotek ;c/o Tønder Løve Apotek -   Storegade 28;6270;Tønder;Enkeltmandsvirksomhed;477300 Apoteker;74721115;302ha@apoteket.dk;Nej
34141649;01.03.2012;;Viby Apotek Århus ;Viby Ringvej 10 -  st. 26.;8260;Viby;Enkeltmandsvirksomhed;477300 Apoteker;86141299;viby@apoteket.dk;Nej
36245638;01.04.2015;;Skagen Apotek ;Sct. Laurentii Vej 44;9990;Skagen;Enkeltmandsvirksomhed;477300 Apoteker;98441758;briansforzini@gmail.com;Nej
36254688;25.02.2015;;Rødding Apotek ;c/o Gitte Halberg Andersen -   Kongevej 2;6630;Rødding;Enkeltmandsvirksomhed;477300 Apoteker;74842141;gitte.halbergandersen@gmail.com;Nej
26456487;01.07.2006;;Friheden Apotek ;Strandmarksvej 20;2650;Hvidovre;Enkeltmandsvirksomhed;477300 Apoteker;36784433;jakob@tjelum.dk;Nej
35087265;01.09.2016;;Rudkøbing Apotek ;Engdraget 1  -  Rudkøbing;5900;Rudkøbing;Enkeltmandsvirksomhed;477300 Apoteker;62511002;anjaclaudiahoffmann@live.dk;Ja
36643145;25.03.2015;;Roskilde Dom Apotek ;Algade 51;4000;Roskilde;Enkeltmandsvirksomhed;477300 Apoteker;46323277;017mk@apoteket.dk;Ja
16543039;01.01.1992;;EJD HERLEV APOTEK ;c/o DEAS A/S -   Dirch Passers Allé 76;2000;Frederiksberg;Fonde og andre selvejende institutioner;682030 Anden udlejning af boliger;70302020;info@deas.dk;Nej
21803189;01.09.1999;;REBERBANE APOTEK AALBORG ;Reberbansgade 25;9000;Aalborg;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
36576286;01.04.2015;;Kastrup Apotek ;c/o V/Mikkel Rostgaard Jørgensen -   Skottegården 2;2770;Kastrup;Enkeltmandsvirksomhed;477300 Apoteker;32503633;mikkelrostgaard@hotmail.com;Ja
39567644;15.05.2018;;Skovlunde Apotek ;Torvestrædet 2;2740;Skovlunde;Enkeltmandsvirksomhed;477300 Apoteker;;jacob@lenau.dk;Ja
27346626;01.07.2012;;Charlottenlund Apotek ;Lindegårdsvej 51;2920;Charlottenlund;Enkeltmandsvirksomhed;477300 Apoteker;39641957;hannerothe@apoteket.dk;Ja
32730566;04.09.2018;;Taastrup Apotek ;Taastrup Hovedgade 60;2630;Taastrup;Enkeltmandsvirksomhed;477300 Apoteker;23801099;bgzar@yahoo.dk;Ja
39801957;22.08.2018;;Det Lille Apotek ;Godthåbsvej 19;9230;Svenstrup;Enkeltmandsvirksomhed;563000 Cafeér, værtshuse, diskoteker mv.;;Lonesvendsen63@gmail.com;Ja
40649824;01.07.2019;;Hillerød Krone Apotek ;Helsingørsgade 10;3400;Hillerød;Enkeltmandsvirksomhed;477300 Apoteker;;eirheim@mail.dk;Ja
32745156;01.07.2010;;Frederiksberg Apotek/ Gammel Kongevej Apotek v/Lone Aagaard ;Gammel Kongevej 162;1850;Frederiksberg;Enkeltmandsvirksomhed;477300 Apoteker;33212639;frberg@apoteket.dk;Nej
35188932;01.12.2013;;Nykøbing Apotek og Holbæk Elefant Apotek v/Trine Frost ;Algade 20;4500;Nykøbing;Enkeltmandsvirksomhed;477300 Apoteker;59910085;;Nej
37454044;16.02.2016;;St. Thomas Apotek ;Nørretorv 1B;7100;Vejle;Enkeltmandsvirksomhed;477300 Apoteker;75820244;271tb@apoteket.dk;Ja
38101994;01.11.2016;;Gazelle Online Apotek ;c/o Trine Persson -   Bavne Alle 25;8370;Hadsten;Enkeltmandsvirksomhed;477300 Apoteker;;trine.persson@webapoteket.dk;Ja
27057411;01.04.2003;;Sønderborg Løve Apotek ;Grundtvigs Alle 179  -  Center Øst;6400;Sønderborg;Enkeltmandsvirksomhed;477300 Apoteker;74422000;soenderborgloeve@apoteket.dk;Ja
18989840;01.11.2018;;Valby og Stenløse Apotek ;Valby Langgade 49;2500;Valby;Enkeltmandsvirksomhed;477300 Apoteker;31313919;kenneth@lokind.dk;Ja
34944962;02.04.2013;;Hudlægeklinikken Det Gamle Apotek ;Gl Hovedgade 6A;2970;Hørsholm;Enkeltmandsvirksomhed;862200 Praktiserende speciallæger;45162990;risk@dadlnet.dk;Ja
36256907;29.04.2020;;Spareforeningen Det Lille Apotek ;Hovedgaden 46;4050;Skibby;Frivillig forening;949900 Andre organisationer og foreninger i.a.n.;21668526;Susanne@hotmail.com;Ja
21494445;01.04.1999;;DALUM APOTEK/ LARS FOGED ;Dalumvej 34  -  Dalum;5250;Odense;Enkeltmandsvirksomhed;477300 Apoteker;66132040;;Nej
19221032;01.04.1985;;FAKSE APOTEK BENTE LARSEN ;Rønnedevej 15;4640;Faxe;Enkeltmandsvirksomhed;477300 Apoteker;56713055;;Nej
39043556;30.10.2017;;Spareforeningen Det lille Apotek ;c/o Det lille Apotek -   Vestergade 17 -  st.;7600;Struer;Frivillig forening;949900 Andre organisationer og foreninger i.a.n.;97841484;karsten.n1965@gmail.com;Ja
32038603;01.06.2009;;Skælskør Apotek Anette Wismar Mühring ;Algade 21;4230;Skælskør;Enkeltmandsvirksomhed;477300 Apoteker;58194003;;Ja
27849245;01.09.2004;;Hadsten Apotek v/Lars Persson ;Vesselbjergvej 8;8370;Hadsten;Enkeltmandsvirksomhed;477300 Apoteker;86981122;;Nej
28015844;01.01.2005;;Ebeltoft Apotek v/Lisbet Høgh ;Bryggerivej 4;8400;Ebeltoft;Enkeltmandsvirksomhed;477300 Apoteker;86341588;;Nej
16965286;01.07.1990;;HENRIK LINTNER HJØRRING SVANE APOTEK ;Strømgade 5A -  1.;9800;Hjørring;Enkeltmandsvirksomhed;477300 Apoteker;98928350;;Nej
20116846;01.08.1997;;Nyborg Apotek v/Tove Drikkjær ;Kongegade 8;5800;Nyborg;Enkeltmandsvirksomhed;477300 Apoteker;64811011;;Ja
32480268;01.12.2009;;Dronninglund Apotek v/Jesper Nordskjold ;Slotsgade 64;9330;Dronninglund;Enkeltmandsvirksomhed;477300 Apoteker;98842222;;Nej
26074665;01.09.2001;;Humlebæk Apotek v/Lars Harild ;Humlebæk Center 23;3050;Humlebæk;Enkeltmandsvirksomhed;477300 Apoteker;49191979;;Nej
31407141;01.06.2008;;Aalborghus Apotek Hanne Enevoldsen ;Grønlands Torv 10;9210;Aalborg;Enkeltmandsvirksomhed;477300 Apoteker;98140499;Aalborghus@apoteket.dk;Nej
36116021;14.10.2014;;Nørre Alslev Apotek ;Apotekergade 1;4840;Nørre;Enkeltmandsvirksomhed;477300 Apoteker;;tineludvig@apoteket.dk;Ja
37983446;01.09.2016;;Apopro Online Apotek ;Ventrupvej 27;2670;Greve;Enkeltmandsvirksomhed;477300 Apoteker;;apoteker.vestergaard@gmail.com;Ja
32988148;01.09.2010;;Kolding Løve Apotek ;Jernbanegade 26;6000;Kolding;Enkeltmandsvirksomhed;477300 Apoteker;75524233;;Ja
33126727;04.10.2010;;Det Gamle Apotek ;Slotsbakken 8;6300;Gråsten;Enkeltmandsvirksomhed;551010 Hoteller;60606522;johanne@freitag.dk;Nej
37012831;01.03.2020;;Kongelig Hof Apotek ;Store Kongensgade 45;1264;København;Anden udenlandsk virksomhed;477300 Apoteker;33141168;kglhof@apoteket.dk;Nej
38986643;04.10.2017;;Slagelse Svane Apotek ;Jernbanegade 7 -  st. 4.;4200;Slagelse;Enkeltmandsvirksomhed;477300 Apoteker;58520134;aa@anitabeate.dk;Nej
25500067;01.08.2000;;Gråsten Apotek/Ralf Michael Ernst ;Sundsnæs 13;6300;Gråsten;Enkeltmandsvirksomhed;477300 Apoteker;74651020;graasten@apoteket.dk;Ja
26412005;01.02.2002;;Høng Apotek v/Marianne Lillebro ;Centervej 35;4270;Høng;Enkeltmandsvirksomhed;477300 Apoteker;58852294;;Ja
31304342;01.05.2008;;Aabybro Apotek Christina Weidemann Pedersen ;Østergade 36;9440;Aabybro;Enkeltmandsvirksomhed;477300 Apoteker;98244288;aabybro@apoteket.dk;Nej
33433603;01.05.2011;;Vojens Apotek v/Jacob Grønne ;Rådhuscentret 11A;6500;Vojens;Enkeltmandsvirksomhed;477300 Apoteker;74541442;jg@apoteket.dk;Nej
13555842;01.12.1989;;SKOVLUNDE APOTEK V/MOGENS PALVAD ;Torvestrædet 9;2740;Skovlunde;Enkeltmandsvirksomhed;477300 Apoteker;44915022;;Nej
37649406;26.04.2016;;Aars Apotek v/Lonnie Skovfoged ;Søndergade 34 -  st.;9600;Aars;Enkeltmandsvirksomhed;477300 Apoteker;98621611;writetolonnie@gmail.com;Ja
26636590;01.07.2002;;Kerteminde Apotek/ Frank Godsk Hansen ;Langegade 37B;5300;Kerteminde;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
27187064;10.03.2003;;Lemvig Apotek Benedicte Hjerl Carstensen ;Vasen 6;7620;Lemvig;Enkeltmandsvirksomhed;477300 Apoteker;97820266;;Nej
12136773;01.08.1986;;HIMMELBJERG APOTEK V/EDVARD BAASCH ;Borgergade 20;8600;Silkeborg;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
25225848;01.04.2000;;Ballerup Apotek V/Ute Pørksen ;Centrumgaden 24 - 26;2750;Ballerup;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
29967288;01.12.2006;;Tårnby Apotek v/Peer Nørkjær ;Kamillevej 4;2770;Kastrup;Enkeltmandsvirksomhed;477300 Apoteker;32460070;taarnby@apoteket.dk;Nej
32511007;01.01.2010;;Stege Apotek Birgitte Egeberg Carlsen ;Storegade 6;4780;Stege;Enkeltmandsvirksomhed;477300 Apoteker;55814013;;Ja
29102252;01.01.2006;;Husum Apotek v/Heidi Lindgren ;Frederikssundsvej 320;2700;Brønshøj;Enkeltmandsvirksomhed;477300 Apoteker;38281012;;Nej
17843745;01.07.1994;;TÅSTRUP APOTEK V/PETER KIELGAST ;Taastrup Hovedgade 60;2630;Taastrup;Enkeltmandsvirksomhed;477300 Apoteker;43990098;;Nej
41635703;19.08.2020;;Høng Apotek v/Hassan Rana ;Centervej 35;4270;Høng;Enkeltmandsvirksomhed;477300 Apoteker;58852294;xhassanranax@hotmail.com;Nej
25669576;01.09.2010;;Kjellerup Apotek v/Tatyana Mikkelsen ;Bryggerstræde 5;8620;Kjellerup;Enkeltmandsvirksomhed;477300 Apoteker;86881444;tm@apoteket.dk;Nej
30847849;14.02.2019;;Holte Apotek v/Tahsin Anjam ;Holte Midtpunkt 20 -  1.;2840;Holte;Enkeltmandsvirksomhed;477300 Apoteker;45420076;tahsinanjam@hotmail.com;Nej
16427039;01.10.1992;;ODDER APOTEK V/HANNE KIRCH BULOW ;Rosensgade 14;8300;Odder;Enkeltmandsvirksomhed;477300 Apoteker;86540010;;Nej
33998163;01.04.2012;;Svendborg Løve Apotek v/Lars Kaarill ;Vestergade 16;5700;Svendborg;Enkeltmandsvirksomhed;477300 Apoteker;62210062;035lk@apoteket.dk;Ja
37302872;01.01.2016;;Glostrup Apotek v/Kristian Østergaard Nielsen ;Hovedvejen 101;2600;Glostrup;Enkeltmandsvirksomhed;477300 Apoteker;43960020;109kn@apoteket.dk;Nej
31227305;01.04.2008;;Birkerød Apotek v/Jeanette Hovgaard Rasmussen ;Teglporten 27;3460;Birkerød;Enkeltmandsvirksomhed;477300 Apoteker;45813778;;Ja
78175818;01.08.1985;;Horsens Svane Apotek v/Elise Gerstrøm ;Grønlandsvej 1D;8700;Horsens;Enkeltmandsvirksomhed;477300 Apoteker;75628222;svaneneg@apoteket.dk;Nej
25801822;01.03.2001;;Roslev Apotek v/Susanne Møller Jensen ;Jernbanegade 15;7870;Roslev;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
38691708;01.06.2017;;Vejle Gorms Apotek v/Jonas Grønskov ;Vestergade 29 -  st.;7100;Vejle;Enkeltmandsvirksomhed;477300 Apoteker;75820900;groenskov@apoteket.dk;Ja
30475127;01.07.2012;;Middelfart Apotek v/Tine Klingsten Nielsen ;Jernbanegade 2C -  st.;5500;Middelfart;Enkeltmandsvirksomhed;477300 Apoteker;64417743;047tk@apoteket.dk;Ja
31230918;01.04.2008;;Bagsværd Apotek v/Erik Laursen ;Bagsværd Torv 6;2880;Bagsværd;Enkeltmandsvirksomhed;477300 Apoteker;44984466;;Nej
21392480;01.02.1999;;KORSØR APOTEK V/PEDER HARBOE ;Algade 49A;4220;Korsør;Enkeltmandsvirksomhed;477300 Apoteker;58370003;korsoer@apotekeren.dk;Ja
25495896;01.08.2000;;Budolfi Apotek v/Mikael Sell ;Algade 60;9000;Aalborg;Enkeltmandsvirksomhed;477300 Apoteker;98120677;;Nej
29541795;19.05.2006;;Rødovre Apotek v/Camilla Bangert ;Rødovre Centrum 1C -  st. 124.;2610;Rødovre;Enkeltmandsvirksomhed;477300 Apoteker;36700858;;Nej
13478007;01.10.1989;;HØRSHOLM APOTEK V/PETER ØELUND ;Hørsholm Midtpunkt 2;2970;Hørsholm;Enkeltmandsvirksomhed;477300 Apoteker;45860023;;Nej
26219493;01.11.2001;;Jyderup Apotek v/Peter S. Christophersen ;Sølystvej 1;4450;Jyderup;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
17678779;01.04.1994;;NAKSKOV LØVE APOTEK V/THOMAS SEVEL ;Nygade 17;4900;Nakskov;Enkeltmandsvirksomhed;477300 Apoteker;54923211;;Nej
20572299;01.04.1998;;THISTED SVANE APOTEK V/GEORG GEORGSEN ;Storegade 5A -  st. tv.;7700;Thisted;Enkeltmandsvirksomhed;477300 Apoteker;97920011;;Ja
21646830;01.06.1999;;KØGE BOHOLTE APOTEK V/LENE DAMGAARD ;Marksvinget 21;4600;Køge;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
39285487;01.02.2018;;Bjerringbro Apotek v/Lene Just Jørgensen ;Nørregade 4A;8850;Bjerringbro;Enkeltmandsvirksomhed;477300 Apoteker;86681010;just@apoteket.dk;Nej
34424209;01.06.2012;;Brøndbyøster Apotek v/Flemming Kunoy Strøm ;Nygårds Plads 29A;2605;Brøndby;Enkeltmandsvirksomhed;477300 Apoteker;36754070;;Ja
30465075;01.07.2007;;Helsinge Apotek v/Ane Vibeke Børsting ;Østergade 35A -  st.;3200;Helsinge;Enkeltmandsvirksomhed;477300 Apoteker;48760770;;Ja
35425284;21.03.2014;;Krone Apotek Esbjerg v/Lisbeth Nielsen ;Kongensgade 36;6700;Esbjerg;Enkeltmandsvirksomhed;477300 Apoteker;75129211;;Nej
31110408;01.02.2008;;Marstal Apotek v/Hanna Maria Magnussen ;Kirkestræde 23;5960;Marstal;Enkeltmandsvirksomhed;477300 Apoteker;62531068;;Nej
25307070;01.05.2000;;Århus Stjerne Apotek /Lene Mazanti Mikkelsen ;Funch Thomsens Gade 3;8200;Aarhus;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
17300687;01.05.1988;;CHRISTIANSHAVNS APOTEK V/JENS HARDY MADSEN ;Torvegade 47;1400;København;Enkeltmandsvirksomhed;477300 Apoteker;32576880;;Nej
28574665;01.06.2005;;Bramminge Apotek v/Kurt Jensen Høy ;Storegade 2  -  Bramming;6740;Bramming;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
31516277;01.08.2008;;Rønne Apotek Mette Elsborg ;Store Torvegade 12;3700;Rønne;Enkeltmandsvirksomhed;477300 Apoteker;56950130;;Nej
39904977;12.05.2018;;Andelsboligforeningen 'Det gamle Apotek' ;Storegade 11;4171;Glumsø;Forening;682020 Private andelsboligforeninger;;Andelsboligforeningen@Aldershaab.dk;Ja
37182265;27.10.2015;;Ejerforeningen Det Gamle Apotek ;c/o ADVICE Ejendomsadministration a/s -   Rådhustorvet 4C;4760;Vordingborg;Frivillig forening;949900 Andre organisationer og foreninger i.a.n.;20903764;jk@advice-adm.dk;Ja
25942884;01.04.2001;;Hobro Apotek v/Gunder Clemmen Gundersen ;Adelgade 18;9500;Hobro;Enkeltmandsvirksomhed;477300 Apoteker;98520600;;Nej
20447206;01.01.1998;;Aarhus Jernbane Apotek v/Bent Hougaard ;Banegårdspladsen 8;8000;Aarhus;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
20424206;01.01.1998;;GILLELEJE APOTEK V/KARL JOHAN NEERGAARD ;Vesterbrogade 6B;3250;Gilleleje;Enkeltmandsvirksomhed;477300 Apoteker;48301555;;Nej
28619707;27.06.2005;;Hundige Apotek v/Lars Østergaard Christensen ;Over Bølgen 19H;2670;Greve;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
32912842;01.07.2010;;Herlev Apotek v/ Svenn Klüver Jepsen ;Herlev Torv 13;2730;Herlev;Enkeltmandsvirksomhed;477300 Apoteker;44942525;;Ja
25215389;01.05.2000;;Sæby Apotek V/Preben Smed Jeppesen ;Søndergade 7;9300;Sæby;Enkeltmandsvirksomhed;477300 Apoteker;98461017;;Nej
31243912;01.04.2008;;Værløse Apotek v/Asger Rosenkilde Mortensen ;Bymidten 13;3500;Værløse;Enkeltmandsvirksomhed;477300 Apoteker;44482233;;Ja
19621375;01.01.1997;;SØNDERGADES APOTEK V/BENTE WITTRUP PRÆSTEBROGAARD ;Søndergade 12;8700;Horsens;Enkeltmandsvirksomhed;477300 Apoteker;76254200;horsens@apotekeren.dk;Nej
36653329;20.05.2015;;Viborg Svane Apotek v/Rami Zeidan ;Ll. Sct. Peder Stræde 10 - 12;8800;Viborg;Enkeltmandsvirksomhed;477300 Apoteker;86620022;viborg@apotekeren.dk;Nej
40518452;14.05.2019;;Hurup Apotek v/Laia Ribera-Jäger ;Sundsvej 1;7760;Hurup;Enkeltmandsvirksomhed;477300 Apoteker;97952533;laiariberajager@yahoo.es;Ja
60914613;26.11.1981;;DET GAMLE APOTEK PETER KRISTIAN LUNDSGAARD ;Vestergade 18;7323;Give;Enkeltmandsvirksomhed;475920 Boligtekstilforretninger;75735183;;Nej
20674474;01.05.1998;;HEDENSTED APOTEK V/STEFAN PETURSSON ;Bytorvet 21B;8722;Hedensted;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
14144145;01.05.1990;;HVIDOVRE APOTEK V/HENRIK ALDERSHVILE ;Hvidovrevej 178;2650;Hvidovre;Enkeltmandsvirksomhed;477300 Apoteker;36350010;;Nej
31242207;01.04.2008;;Nærum Apotek v/Lone Breinholt ;Nærumvænge Torv 35;2850;Nærum;Enkeltmandsvirksomhed;477300 Apoteker;45804250;;Ja
30310543;01.03.2007;;Grindsted Apotek v/Lene Brandstrup ;Borgergade 29;7200;Grindsted;Enkeltmandsvirksomhed;477300 Apoteker;75320022;grindsted@apotekeren.dk;Nej
32164889;01.07.2009;;Nørrebro Apotek v/Majid Sairafianpour ;Nørrebrogade 8;2200;København;Enkeltmandsvirksomhed;477300 Apoteker;35398382;090pp@apoteket.dk;Ja
31574722;01.11.2008;;Varde Apotek Jacob Søe Rasmussen ;Vestergade 3;6800;Varde;Enkeltmandsvirksomhed;477300 Apoteker;75221311;;Nej
31795826;01.01.2009;;Hornslet Apotek Johan Ulrik Hjelme ;Byvej 8;8543;Hornslet;Enkeltmandsvirksomhed;477300 Apoteker;86994633;;Nej
28604831;27.06.2005;;Greve Apotek v/Birgitte Gundersen ;Greve Midtby Center 14B;2670;Greve;Enkeltmandsvirksomhed;477300 Apoteker;43903921;370ga@apoteket.dk;Nej
15813598;01.03.1992;;NEXØ APOTEK/GERT MØLLER-JENSEN ;Strandgade 7  -  Nexø;3730;Nexø;Enkeltmandsvirksomhed;477300 Apoteker;56492019;;Nej
29283990;01.04.2006;;Stevns Apotek v/Mads Middelboe ;Algade 23;4660;Store;Enkeltmandsvirksomhed;477300 Apoteker;56502024;;Nej
21167991;08.09.2014;;Grenå Apotek v/Lars F. Nørgaard ;Kannikegade 12;8500;Grenaa;Enkeltmandsvirksomhed;477300 Apoteker;86321422;;Nej
36130962;05.11.2014;;Lyngby Løve Apotek/ v Mahboubeh Dadkhah Tehrani ;Jernbanepladsen 43;2800;Kgs.;Enkeltmandsvirksomhed;477300 Apoteker;45870820;lyngby@apoteket.dk;Ja
25211855;01.05.2000;;Roskilde Svane Apotek V/Ulla Charlotte Andersen ;Skomagergade 19;4000;Roskilde;Enkeltmandsvirksomhed;477300 Apoteker;46372308;;Nej
25955897;01.05.2001;;Sct. Nicolai Apotek V/Per Randem Wisbech ;Gerritsgade 7;5700;Svendborg;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
27000894;01.03.2003;;Nørre-Nebel Apotek v/P E Nielsen ;Bredgade 12;6830;Nørre;Enkeltmandsvirksomhed;477300 Apoteker;75288366;pen@apoteket.dk;Ja
26358698;01.01.2002;;Tinglev Apotek v/Anna M Bucka ;Jernbanegade 1;6360;Tinglev;Enkeltmandsvirksomhed;477300 Apoteker;;;Nej
31407214;01.07.2008;;Vejgaard Apotek Aalborg v/Rinette Rohde ;Hadsundvej 33B;9000;Aalborg;Enkeltmandsvirksomhed;477300 Apoteker;98136580;vejgaard@apoteket.dk;Ja
40655689;11.07.2019;;Det Lille Apotek v/Vibeke Nielsen ;Vestergade 17;7600;Struer;Enkeltmandsvirksomhed;563000 Cafeér, værtshuse, diskoteker mv.;;detlilleapotek7600@gmail.com;Ja
41613912;24.08.2020;;Maribo Apotek v/Louise I. Vorbeck ;Vestergade 1;4930;Maribo;Enkeltmandsvirksomhed;477300 Apoteker;;louise_ingerslev@hotmail.com;Ja
34783454;01.07.2013;;Århus Løve Apotek v/Marianne Schmidt ;Store Torv 5;8000;Aarhus;Enkeltmandsvirksomhed;477300 Apoteker;86120022;arhloeve@apotek.dk;Nej
33993749;01.01.2012;;Hadsund Apotek v/Lars Lundager Walmar ;Storegade 23;9560;Hadsund;Enkeltmandsvirksomhed;477300 Apoteker;98571511;hadsund@apoteket.dk;Ja
27111750;01.05.2003;;Østergades Apotek v/ Helle S. Sørensen ;Østergade 5;7400;Herning;Enkeltmandsvirksomhed;477300 Apoteker;96266506;281hs@apoteket.dk;Nej
14808744;01.02.1991;;Ex-Virum Apotek v/Steffen Kjær ;Lyngebækgårds Alle 20;2990;Nivå;Enkeltmandsvirksomhed;477300 Apoteker;28116515;sk@apoteket.dk;Nej
21652547;01.06.1999;;KØGE TORVETS APOTEK V/PETER SCHJØRRING-THYSSEN ;Brogade 1A -  st.;4600;Køge;Enkeltmandsvirksomhed;477300 Apoteker;56650121;;Ja
28206984;20.11.2004;;Sønderbros Apotek Randers v/Bjørn Petersen Thorbjørner ;Dytmærsken 10;8900;Randers;Enkeltmandsvirksomhed;477300 Apoteker;86422900;;Nej
31115701;01.03.2008;;Esbjerg Jerne Apotek v/Anne Helene Kahns ;Strandby Kirkevej 80;6705;Esbjerg;Enkeltmandsvirksomhed;477300 Apoteker;75122177;anne.kahns@apoteket.dk;Nej
